ISO28178							
ORIGINATOR "CGATS"							
FILE_DESCRIPTOR "CGATS21-2-CRPC5"							
# Characterized Reference Printing Condition 5, Universal Pub Coated							
CREATED "December, 2012"							
MEASUREMENT_GEOMETRY "ISO 13655 - Reflection, M1, white backing"							
FILTER "D50"							
# Reference White Point (LAB) = 92.00  0.00  0.00							
# Reference Black Point (LAB) = 9.20  0.00  1.86							
NUMBER_OF_FIELDS 8							
BEGIN_DATA_FORMAT							
SAMPLE_ID CMYK_C CMYK_M CMYK_Y CMYK_K LAB_L LAB_A LAB_B							
END_DATA_FORMAT							
NUMBER_OF_SETS 1617							
BEGIN_DATA							
126	40	100	10	0	39.3	49.93	-16.83
127	55	0	10	0	70.83	-21.61	-18.09
128	55	10	10	0	67.1	-16.14	-18.84
129	55	20	10	0	63.45	-10.5	-19.6
130	55	30	10	0	59.74	-4.55	-20.34
131	55	40	10	0	56	1.73	-21
132	55	55	10	0	50.28	11.87	-21.92
133	55	70	10	0	44.54	23.17	-22.52
134	55	85	10	0	39.52	33.78	-22.92
135	55	100	10	0	36.04	41.43	-23.08
136	70	0	10	0	65.35	-28.34	-25.24
137	70	10	10	0	62.03	-22.97	-25.66
138	70	20	10	0	58.71	-17.58	-26.17
139	70	30	10	0	55.31	-11.9	-26.68
140	70	40	10	0	51.86	-5.91	-27.13
141	70	55	10	0	46.54	3.76	-27.83
142	70	70	10	0	41.02	14.6	-28.41
143	70	85	10	0	36.16	24.75	-28.91
144	70	100	10	0	32.77	32.02	-29.23
145	85	0	10	0	60.26	-35.15	-31.97
146	85	10	10	0	57.25	-30	-32.14
147	85	20	10	0	54.26	-24.84	-32.36
148	85	30	10	0	51.16	-19.41	-32.61
149	85	40	10	0	47.99	-13.68	-32.86
150	85	55	10	0	43.03	-4.46	-33.34
151	85	70	10	0	37.79	5.74	-33.89
152	85	85	10	0	33.01	15.48	-34.51
153	85	100	10	0	29.64	22.32	-34.98
154	100	0	10	0	56.69	-40.21	-36.79
155	100	10	10	0	53.93	-35.23	-36.7
156	100	20	10	0	51.18	-30.22	-36.68
157	100	30	10	0	48.3	-24.96	-36.74
158	100	40	10	0	45.29	-19.33	-36.83
159	100	55	10	0	40.59	-10.47	-37.15
160	100	70	10	0	35.54	-0.73	-37.7
161	100	85	10	0	30.81	8.55	-38.41
162	100	100	10	0	27.27	15.15	-39.11
163	0	0	20	0	90.69	-1.3	16.31
164	0	10	20	0	86.05	5.27	14.48
165	0	20	20	0	81.63	11.65	12.82
166	0	30	20	0	77.09	18.38	11.24
167	0	40	20	0	72.57	25.46	9.88
168	0	55	20	0	65.7	36.73	7.95
169	0	70	20	0	59	48.8	6.65
170	0	85	20	0	52.83	60.8	5.84
171	0	100	20	0	48.46	69.67	5.5
172	10	0	20	0	86.98	-5.09	11.4
173	10	10	20	0	82.29	0.6	9.79
174	10	20	20	0	77.8	7.09	8.1
175	10	30	20	0	73.32	13.91	6.53
176	10	40	20	0	68.89	21.07	5.16
177	10	55	20	0	62.23	32.37	3.32
178	10	70	20	0	55.61	44.71	2.01
179	10	85	20	0	49.94	56.23	1.29
180	10	100	20	0	46.05	64.46	0.94
181	20	0	20	0	83.3	-8.83	6.52
182	20	10	20	0	78.56	-3.56	4.73
183	20	20	20	0	74.2	2.76	3.11
184	20	30	20	0	69.82	9.39	1.64
185	20	40	20	0	65.42	16.44	0.32
186	20	55	20	0	58.9	27.66	-1.45
187	20	70	20	0	52.42	40.14	-2.72
188	20	85	20	0	47.08	51.39	-3.41
189	20	100	20	0	43.57	59.15	-3.75
190	30	0	20	0	79.65	-12.77	1.63
191	30	10	20	0	75.07	-7.58	-0.07
192	30	20	20	0	70.81	-1.52	-1.59
193	30	30	20	0	66.59	4.95	-2.96
194	30	40	20	0	62.35	11.84	-4.2
195	30	55	20	0	56.07	22.84	-5.85
196	30	70	20	0	49.81	35.1	-7.09
197	30	85	20	0	44.65	46.22	-7.81
198	30	100	20	0	41.27	53.85	-8.16
199	40	0	20	0	76	-16.89	-3.28
200	40	10	20	0	71.74	-11.55	-4.66
201	40	20	20	0	67.61	-5.73	-6.04
202	40	30	20	0	63.56	0.58	-7.27
203	40	40	20	0	59.49	7.27	-8.43
204	40	55	20	0	53.42	18.03	-10
205	40	70	20	0	47.36	30.08	-11.23
206	40	85	20	0	42.35	40.95	-11.98
207	40	100	20	0	39.06	48.43	-12.35
208	55	0	20	0	70.49	-23.45	-10.66
209	55	10	20	0	66.71	-17.98	-11.57
210	55	20	20	0	62.93	-12.36	-12.55
211	55	30	20	0	59.14	-6.29	-13.6
212	55	40	20	0	55.33	0.14	-14.62
213	55	55	20	0	49.55	10.49	-16.06
214	55	70	20	0	43.79	22.13	-17.26
215	55	85	20	0	38.99	32.62	-18.1
216	55	100	20	0	35.8	39.86	-18.55
217	70	0	20	0	65.06	-30.54	-18.03
218	70	10	20	0	61.67	-25.17	-18.59
219	70	20	20	0	58.27	-19.73	-19.27
220	70	30	20	0	54.79	-13.91	-20.05
221	70	40	20	0	51.26	-7.77	-20.84
222	70	55	20	0	45.87	2.17	-22.04
223	70	70	20	0	40.33	13.37	-23.16
224	70	85	20	0	35.69	23.43	-24.06
225	70	100	20	0	32.59	30.39	-24.64
226	85	0	20	0	60	-37.68	-24.95
227	85	10	20	0	56.92	-32.55	-25.27
228	85	20	20	0	53.85	-27.38	-25.66
229	85	30	20	0	50.68	-21.82	-26.19
230	85	40	20	0	47.44	-15.92	-26.74
231	85	55	20	0	42.43	-6.45	-27.66
232	85	70	20	0	37.18	4.19	-28.72
233	85	85	20	0	32.59	13.95	-29.68
234	85	100	20	0	29.56	20.52	-30.35
235	100	0	20	0	56.42	-43.01	-29.92
236	100	10	20	0	53.62	-38.04	-29.98
237	100	20	20	0	50.81	-33.03	-30.13
238	100	30	20	0	47.87	-27.62	-30.44
239	100	40	20	0	44.81	-21.83	-30.81
240	100	55	20	0	40.08	-12.7	-31.54
241	100	70	20	0	35.02	-2.5	-32.54
242	100	85	20	0	30.53	6.82	-33.58
243	100	100	20	0	27.42	13.24	-34.32
244	0	0	30	0	90.07	-1.91	24.7
245	0	10	30	0	85.54	4.67	22.43
246	0	20	30	0	81.2	11.04	20.43
247	0	30	30	0	76.76	17.78	18.43
248	0	40	30	0	72.32	24.87	16.72
249	0	55	30	0	65.58	36.13	14.22
250	0	70	30	0	58.99	48.21	12.35
251	0	85	30	0	52.9	60.21	11.08
252	0	100	30	0	48.61	69.09	10.34
253	10	0	30	0	86.42	-5.91	19.63
254	10	10	30	0	81.83	-0.13	17.5
255	10	20	30	0	77.42	6.36	15.48
256	10	30	30	0	72.96	13.16	13.5
257	10	40	30	0	68.58	20.33	11.8
258	10	55	30	0	62.03	31.62	9.39
259	10	70	30	0	55.52	43.98	7.56
260	10	85	30	0	49.92	55.49	6.36
261	10	100	30	0	46.11	63.72	5.68
262	20	0	30	0	82.82	-9.84	14.62
263	20	10	30	0	78.15	-4.45	12.34
264	20	20	30	0	73.77	1.8	10.37
265	20	30	30	0	69.41	8.47	8.49
266	20	40	30	0	65.06	15.55	6.82
267	20	55	30	0	58.62	26.79	4.5
268	20	70	30	0	52.23	39.27	2.7
269	20	85	30	0	46.98	50.5	1.54
270	20	100	30	0	43.55	58.21	0.9
271	30	0	30	0	79.22	-13.99	9.59
272	30	10	30	0	74.64	-8.77	7.41
273	30	20	30	0	70.38	-2.66	5.55
274	30	30	30	0	66.16	3.88	3.79
275	30	40	30	0	61.94	10.79	2.21
276	30	55	30	0	55.62	21.82	-0.05
277	30	70	30	0	49.33	34.25	-1.86
278	30	85	30	0	44.27	45.27	-3.07
279	30	100	30	0	41.1	52.59	-3.7
280	40	0	30	0	75.62	-18.36	4.57
281	40	10	30	0	71.34	-12.94	2.73
282	40	20	30	0	67.2	-7.07	1.01
283	40	30	30	0	63.11	-0.68	-0.63
284	40	40	30	0	59.04	6.05	-2.12
285	40	55	30	0	52.94	16.86	-4.25
286	40	70	30	0	46.84	29.09	-6.04
287	40	85	30	0	41.94	39.91	-7.26
288	40	100	30	0	38.86	47.07	-7.89
289	55	0	30	0	70.17	-25.24	-3.04
290	55	10	30	0	66.33	-19.68	-4.34
291	55	20	30	0	62.52	-13.98	-5.68
292	55	30	30	0	58.67	-7.83	-7.09
293	55	40	30	0	54.84	-1.36	-8.43
294	55	55	30	0	49.05	9.11	-10.39
295	55	70	30	0	43.25	20.99	-12.12
296	55	85	30	0	38.57	31.45	-13.37
297	55	100	30	0	35.6	38.41	-14.07
298	70	0	30	0	64.77	-32.72	-10.64
299	70	10	30	0	61.32	-27.24	-11.58
300	70	20	30	0	57.88	-21.71	-12.56
301	70	30	30	0	54.32	-15.77	-13.64
302	70	40	30	0	50.76	-9.51	-14.73
303	70	55	30	0	45.34	0.6	-16.44
304	70	70	30	0	39.82	12.02	-18.05
305	70	85	30	0	35.31	22.1	-19.34
306	70	100	30	0	32.42	28.8	-20.14
307	85	0	30	0	59.71	-40.25	-17.77
308	85	10	30	0	56.59	-35	-18.44
309	85	20	30	0	53.48	-29.74	-19.14
310	85	30	30	0	50.24	-24.06	-19.92
311	85	40	30	0	46.96	-18.02	-20.76
312	85	55	30	0	41.94	-8.33	-22.17
313	85	70	30	0	36.7	2.61	-23.66
314	85	85	30	0	32.27	12.39	-24.98
315	85	100	30	0	29.42	18.84	-25.85
316	100	0	30	0	56.13	-45.86	-22.89
317	100	10	30	0	53.31	-40.78	-23.28
318	100	20	30	0	50.46	-35.67	-23.71
319	100	30	30	0	47.47	-30.14	-24.27
320	100	40	30	0	44.37	-24.17	-24.94
321	100	55	30	0	39.63	-14.77	-26.11
322	100	70	30	0	34.6	-4.29	-27.51
323	100	85	30	0	30.23	5.21	-28.86
324	100	100	30	0	27.34	11.52	-29.79
325	0	0	40	0	89.48	-2.46	33.27
326	0	10	40	0	85.03	4.18	30.65
327	0	20	40	0	80.79	10.51	28.21
328	0	30	40	0	76.43	17.24	25.86
329	0	40	40	0	72.08	24.34	23.68
330	0	55	40	0	65.45	35.55	20.61
331	0	70	40	0	58.97	47.64	18.2
332	0	85	40	0	52.96	59.63	16.39
333	0	100	40	0	48.71	68.49	15.33
334	10	0	40	0	85.89	-6.65	28.04
335	10	10	40	0	81.39	-0.71	25.43
336	10	20	40	0	77.07	5.75	23.04
337	10	30	40	0	72.68	12.52	20.71
338	10	40	40	0	68.28	19.68	18.53
339	10	55	40	0	61.83	30.94	15.6
340	10	70	40	0	55.42	43.3	13.21
